,Unnamed: 0,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats
23,23,Jeep Compass 2.0 Limited Plus BSIV,1588000,15414,Diesel,Manual,1st Owner,2019,1956 cc,5.0
24,24,Hyundai Grand i10 1.2 Kappa Magna BSIV,541000,21239,Petrol,Manual,1st Owner,2018,1197 cc,5.0
25,25,Maruti Alto K10 LXI,223000,62361,Petrol,Manual,1st Owner,2014,998 cc,5.0
26,26,Hyundai Verna 1.6 VTVT S Option,588000,79329,Petrol,Manual,2nd Owner,2015,1591 cc,5.0
27,27,Hyundai Tucson GLS AT,2278000,11945,Petrol,Automatic,1st Owner,2021,1999 cc,5.0
28,28,Maruti Swift Dzire VXI 1.2,612000,51324,Petrol,Manual,1st Owner,2018,1197 cc,5.0
29,29,Nissan Magnite XV Premium,744000,5717,Petrol,Manual,1st Owner,2021,999 cc,5.0
30,30,Honda City i VTEC CVT VX,839000,46417,Petrol,Automatic,1st Owner,2016,1497 cc,5.0
31,31,Honda Amaze S i-Vtech,420000,100161,Petrol,Manual,1st Owner,2015,1198 cc,5.0
32,32,Hyundai Grand i10 Sportz,491000,35424,Petrol,Manual,1st Owner,2016,1197 cc,5.0
33,33,Hyundai EON Era Plus,293000,51085,Petrol,Manual,1st Owner,2017,814 cc,5.0
34,34,Maruti Alto 800 LXI,298000,30983,Petrol,Manual,1st Owner,2016,796 cc,5.0
35,35,Renault KWID RXL,260000,32681,Petrol,Manual,1st Owner,2016,799 cc,5.0
36,36,Hyundai EON Magna Plus,238000,57581,Petrol,Manual,2nd Owner,2014,814 cc,5.0
37,37,Honda Jazz 1.2 V AT i VTEC,605000,39821,Petrol,Automatic,1st Owner,2016,1199 cc,5.0
38,38,Maruti Alto 800 LXI,323000,21186,Petrol,Manual,1st Owner,2018,796 cc,5.0
39,39,Renault KWID RXL,326000,34972,Petrol,Manual,1st Owner,2018,799 cc,5.0
40,40,Honda Amaze S i-Vtech,421000,46623,Petrol,Manual,2nd Owner,2015,1198 cc,5.0
41,41,Kia Seltos GTX Plus,1553000,18557,Petrol,Manual,1st Owner,2019,1353 cc,5.0
42,42,Jeep Compass 2.0 Limited,1243000,58463,Diesel,Manual,1st Owner,2017,1956 cc,5.0
43,43,MG Hector Plus Sharp DCT,1850000,5000,Petrol,Automatic,1st Owner,2020,1451 cc,6.0
44,44,Tata Harrier XZ BSIV,1590000,66000,Diesel,Manual,1st Owner,2019,1956 cc,5.0
45,45,Renault Duster Petrol RXS CVT,890000,14000,Petrol,Automatic,1st Owner,2019,1498 cc,5.0
46,46,BMW 5 Series 520d Luxury Line,4300000,61000,Diesel,Automatic,1st Owner,2019,1995 cc,5.0
47,47,Hyundai i20 1.4 Magna Executive,600000,65392,Diesel,Manual,1st Owner,2017,1396 cc,5.0
48,48,Mercedes-Benz CLA 200 CGI Sport,2700000,37000,Petrol,Automatic,1st Owner,2018,1991 cc,5.0
49,49,Maruti XL6 Zeta,1090000,9000,Petrol,Manual,1st Owner,2020,1462 cc,6.0
50,50,Hyundai Grand i10 1.2 Kappa Sportz Option AT,590000,32000,Petrol,Automatic,1st Owner,2017,1197 cc,5.0
51,51,Mahindra XUV500 W8 2WD,650000,68000,Diesel,Manual,1st Owner,2012,2179 cc,7.0
52,52,Hyundai i20 Magna 1.2,675000,13000,Petrol,Manual,1st Owner,2017,1197 cc,5.0
53,53,Datsun RediGO AMT 1.0 T Option,370000,30000,Petrol,Automatic,1st Owner,2020,999 cc,5.0
54,54,Honda Brio VX AT,525000,34300,Petrol,Automatic,1st Owner,2015,1198 cc,5.0
55,55,Honda City i VTEC CVT SV,725000,45000,Petrol,Automatic,1st Owner,2015,1497 cc,5.0
56,56,Toyota Corolla Altis GL MT,850000,37000,Petrol,Manual,1st Owner,2014,1798 cc,5.0
57,57,Jeep Compass 1.4 Sport,1400000,50000,Petrol,Manual,1st Owner,2018,1368 cc,5.0
58,58,Volvo XC60 D4 Summum,1500000,105241,Diesel,Automatic,1st Owner,2015,1985 cc,5.0
59,59,Toyota Corolla Altis 1.8 G,1390000,54000,Petrol,Manual,1st Owner,2019,1798 cc,5.0
60,60,Hyundai Verna VTVT 1.6 SX,890000,19600,Petrol,Manual,1st Owner,2019,1591 cc,5.0
61,61,Audi A4 2.0 TDI Technology Edition,1689999,48000,Diesel,Automatic,1st Owner,2015,1968 cc,5.0
62,62,Audi Q3 2.0 TDI,1390000,69500,Diesel,Automatic,1st Owner,2012,1968 cc,5.0
63,63,BMW 5 Series 530d,1500000,71000,Diesel,Automatic,2nd Owner,2012,2993 cc,5.0
64,64,Porsche Cayenne S Diesel,4500000,48894,Diesel,Automatic,1st Owner,2014,4134 cc,5.0
65,65,Maruti A-Star Zxi,153000,46257,Petrol,Manual,3rd Owner,2008,998 cc,5.0
66,66,Ford Ecosport 1.5 DV5 MT Titanium,509000,78264,Diesel,Manual,2nd Owner,2015,1498 cc,5.0
67,67,Honda Jazz 1.2 S AT i VTEC,546000,42451,Petrol,Automatic,1st Owner,2016,1199 cc,5.0
68,68,Volkswagen Vento Diesel Highline,273000,131861,Diesel,Manual,2nd Owner,2012,1598 cc,5.0
69,69,Maruti Wagon R VXI BS IV,180000,128004,Petrol,Manual,2nd Owner,2012,998 cc,5.0
70,70,Chevrolet Beat Diesel PS,110000,150349,Diesel,Manual,1st Owner,2012,936 cc,5.0
71,71,Maruti Wagon R VXI BS IV,369000,29033,Petrol,Manual,1st Owner,2017,998 cc,5.0
72,72,BMW 3 Series 320d Luxury Line,1350000,99000,Diesel,Automatic,1st Owner,2015,1995 cc,5.0
73,73,Renault KWID RXL,275000,47000,Petrol,Manual,1st Owner,2018,799 cc,5.0
74,74,Maruti Baleno 1.3 Sigma,550000,35000,Diesel,Manual,1st Owner,2018,1248 cc,5.0
75,75,Mercedes-Benz C-Class C 220 CDI BE COR,975000,58000,Diesel,Automatic,1st Owner,2013,2143 cc,5.0
76,76,Honda City S,400000,48000,Petrol,Manual,1st Owner,2012,1497 cc,5.0
77,77,Honda Amaze VX AT i-Vtech,475000,45000,Petrol,Automatic,1st Owner,2014,1198 cc,5.0
78,78,Hyundai EON D Lite,190000,60000,Petrol,Manual,2nd Owner,2012,814 cc,5.0
79,79,Hyundai i20 Magna Optional 1.2,465000,23000,Petrol,Manual,1st Owner,2014,1197 cc,5.0
80,80,Hyundai Grand i10 1.2 Kappa Era,459999,45000,Petrol,Manual,1st Owner,2019,1197 cc,5.0
81,81,Hyundai i10 Magna 1.1L,325000,45000,Petrol,Manual,1st Owner,2014,1086 cc,5.0
82,82,Maruti Ertiga VDI,525000,58000,Diesel,Manual,1st Owner,2013,1248 cc,7.0
83,83,Hyundai i20 1.2 Spotz,625000,48000,Petrol,Manual,1st Owner,2018,1197 cc,5.0
84,84,BMW 2 Series 220i M Sport,4000000,18000,Petrol,Automatic,1st Owner,2021,1998 cc,5.0
85,85,Skoda Kushaq 1.0 TSI Style 6 Airbags AT,1675000,16000,Petrol,Automatic,1st Owner,2022,999 cc,5.0
86,86,Honda City i-VTEC VX,1000000,24000,Petrol,Manual,1st Owner,2019,1497 cc,5.0
87,87,MG Hector Plus Select Diesel MT 7 STR,1789999,36000,Diesel,Manual,1st Owner,2021,1956 cc,7.0
88,88,Jeep Compass 1.4 Limited Plus,1390000,35000,Petrol,Automatic,2nd Owner,2019,1368 cc,5.0
89,89,Honda Amaze E Petrol BSIV,610000,64000,Petrol,Manual,1st Owner,2019,1199 cc,5.0
90,90,Maruti Vitara Brezza VDi,775000,72000,Diesel,Manual,1st Owner,2017,1248 cc,5.0
91,91,Hyundai Grand i10 Magna,459999,29900,Petrol,Manual,1st Owner,2015,1197 cc,5.0
92,92,Mahindra XUV700 AX5 Diesel AT,2091000,20000,Diesel,Automatic,1st Owner,2022,2198 cc,5.0
93,93,Tata Indigo VX BSIV,310000,160000,Diesel,Manual,1st Owner,2013,1396 cc,5.0
94,94,Tata Tiago XZ Plus,565000,16000,Petrol,Manual,1st Owner,2020,1199 cc,5.0
95,95,Honda WR-V i-VTEC VX,900000,17000,Petrol,Manual,1st Owner,2019,1199 cc,5.0
96,96,Lexus NX 300h,4200000,111000,Petrol,Automatic,1st Owner,2018,2499 cc,5.0
97,97,Mercedes-Benz M-Class ML 250 CDI,2850000,38000,Diesel,Automatic,2nd Owner,2015,2143 cc,5.0
98,98,Honda Jazz 1.5 SV i DTEC,550000,32000,Diesel,Manual,1st Owner,2015,1498 cc,5.0
99,99,Volkswagen Polo 1.2 MPI Comfortline,450000,67000,Petrol,Manual,1st Owner,2015,1198 cc,5.0
100,100,Ford Ecosport 1.5 Petrol Titanium AT,675000,50000,Petrol,Automatic,1st Owner,2016,1496 cc,5.0
101,101,Maruti Swift VDI BSIV,180000,110000,Diesel,Manual,2nd Owner,2010,1248 cc,5.0
102,102,Hyundai Verna VTVT 1.6 AT EX,775000,51000,Petrol,Automatic,1st Owner,2017,1591 cc,5.0
103,103,Hyundai Grand i10 1.2 CRDi Sportz,550000,83000,Diesel,Manual,1st Owner,2017,1186 cc,5.0
104,104,Audi Q3 35 TDI Quattro Premium,2400000,38000,Diesel,Automatic,1st Owner,2016,1968 cc,5.0
105,105,Hyundai Creta 1.6 SX Automatic Diesel,1325000,58000,Diesel,Automatic,1st Owner,2018,1582 cc,5.0
106,106,Hyundai Creta 1.6 SX,1100000,36000,Petrol,Manual,1st Owner,2018,1591 cc,5.0
107,107,Volkswagen Vento 1.0 TSI Highline AT,1050000,23500,Petrol,Automatic,1st Owner,2020,999 cc,5.0
108,108,Hyundai i20 1.2 Magna Executive,650000,60000,Petrol,Manual,1st Owner,2017,1197 cc,5.0
109,109,Skoda Superb LK 1.8 TSI AT,2500000,18000,Petrol,Automatic,1st Owner,2018,1798 cc,5.0
110,110,Honda Amaze V Petrol BSIV,600000,36500,Petrol,Manual,1st Owner,2017,1199 cc,5.0
111,111,Skoda Superb Sportline,3100000,25000,Petrol,Automatic,1st Owner,2021,1984 cc,5.0
112,112,Kia Seltos HTX IVT,1575000,20500,Petrol,Automatic,1st Owner,2020,1497 cc,5.0
113,113,Honda Amaze S i-Vtech,450000,30000,Petrol,Manual,1st Owner,2015,1198 cc,5.0
114,114,Hyundai i20 Magna 1.2,590000,59000,Petrol,Manual,1st Owner,2017,1197 cc,5.0
115,115,BMW X1 sDrive 20d xLine,1450000,80000,Diesel,Automatic,1st Owner,2014,1995 cc,5.0
116,116,Hyundai Xcent 1.2 CRDi E Plus,380000,50000,Diesel,Manual,2nd Owner,2017,1186 cc,5.0
117,117,Tata Harrier XZAS Plus Kaziranga Edition AT,2100000,32000,Diesel,Automatic,1st Owner,2021,1956 cc,5.0
118,118,Hyundai i10 Era 1.1 iTech SE,261000,120000,Petrol,Manual,2nd Owner,2012,1086 cc,5.0
119,119,Land Rover Discovery 2.0 R-Dynamic HSE,11000000,33000,Petrol,Automatic,1st Owner,2021,1997 cc,7.0
120,120,Mini 3 DOOR Cooper S,4200000,6900,Petrol,Automatic,1st Owner,2019,1998 cc,4.0
121,121,Tata Harrier XZA Plus Kaziranga Edition AT,2250000,4500,Diesel,Automatic,1st Owner,2022,1956 cc,5.0
122,122,Volvo S90 D4 Inscription BSIV,4200000,51000,Diesel,Automatic,1st Owner,2018,1969 cc,5.0
123,123,Kia Seltos GTX Plus AT D,1975000,12000,Diesel,Automatic,1st Owner,2022,1493 cc,5.0
124,124,Maruti Vitara Brezza ZDi Plus,950000,37000,Diesel,Manual,1st Owner,2018,1248 cc,5.0
125,125,Hyundai Verna SX Opt Diesel,1451000,35000,Diesel,Manual,1st Owner,2021,1493 cc,5.0
126,126,Maruti Wagon R VXI Optional,300000,80000,Petrol,Manual,2nd Owner,2016,998 cc,5.0
127,127,Hyundai Grand i10 Magna,459999,60000,Petrol,Manual,1st Owner,2016,1197 cc,5.0
128,128,Honda Amaze VX CVT,915000,10000,Petrol,Automatic,1st Owner,2022,1199 cc,5.0
129,129,Maruti Ignis Zeta AMT,550000,59385,Petrol,Automatic,1st Owner,2019,1197 cc,5.0
130,130,Jaguar XF 3.0 Litre S Premium Luxury,1700000,51000,Diesel,Automatic,2nd Owner,2012,2993 cc,5.0
131,131,Mahindra XUV500 AT W6 1.99 mHawk,990000,74000,Diesel,Automatic,1st Owner,2017,1997 cc,7.0
132,132,Tata Nexon 1.2 Revotron XMA,851000,29000,Petrol,Automatic,1st Owner,2020,1198 cc,5.0
133,133,Jeep Compass Model S 4X4 Diesel AT,2750000,12200,Diesel,Automatic,1st Owner,2021,1956 cc,5.0
134,134,Hyundai Grand i10 1.2 Kappa Sportz Option AT,550000,40000,Petrol,Automatic,3rd Owner,2019,1197 cc,5.0
135,135,Hyundai Verna CRDi 1.6 SX,951000,58000,Diesel,Manual,1st Owner,2018,1582 cc,5.0
136,136,Toyota Innova Crysta 2.8 ZX AT BSIV,1989999,75000,Diesel,Automatic,2nd Owner,2019,2755 cc,7.0
137,137,Land Rover Discovery Sport TD4 HSE 7S,3550000,72000,Diesel,Automatic,1st Owner,2018,1999 cc,7.0
138,138,Ford Aspire 1.2 Ti-VCT Titanium,550000,23400,Petrol,Manual,1st Owner,2017,1196 cc,5.0
139,139,Ford Aspire 1.2 Ti-VCT Ambiente,390000,59300,Petrol,Manual,1st Owner,2017,1196 cc,5.0
140,140,Hyundai Creta 1.4 CRDi S,890000,72000,Diesel,Manual,1st Owner,2016,1396 cc,5.0
141,141,Maruti Swift Dzire LDI,451000,67000,Diesel,Manual,1st Owner,2017,1248 cc,5.0
142,142,Honda Amaze S CVT i-VTEC,725000,33500,Petrol,Automatic,1st Owner,2018,1199 cc,5.0
143,143,Hyundai Creta SX Executive,1275000,17000,Petrol,Manual,2nd Owner,2021,1497 cc,5.0
144,144,Volkswagen Ameo 1.5 TDI Highline AT,690000,33000,Diesel,Automatic,1st Owner,2016,1498 cc,5.0
145,145,Volkswagen Polo GT TSI,675000,49000,Petrol,Automatic,1st Owner,2015,1197 cc,5.0
146,146,Hyundai Grand i10 AT Asta,565000,26000,Petrol,Automatic,1st Owner,2015,1197 cc,5.0
147,147,Hyundai Venue SX Opt iMT,1000000,14500,Petrol,Manual,1st Owner,2020,998 cc,5.0
148,148,Kia Seltos GTX Plus AT D,1975000,10000,Diesel,Automatic,1st Owner,2022,1493 cc,5.0
149,149,MG Hector Plus Sharp DCT,1700000,15001,Petrol,Automatic,1st Owner,2020,1451 cc,6.0
150,150,Skoda Octavia Elegance 1.8 TSI AT,975000,55000,Petrol,Automatic,2nd Owner,2015,1798 cc,5.0
151,151,Toyota Corolla Altis G,650000,38000,Petrol,Manual,1st Owner,2013,1798 cc,5.0
152,152,Ford Endeavour 4x4 XLT,400000,110000,Diesel,Manual,2nd Owner,2005,2953 cc,7.0
153,153,Honda Amaze S AT i-Vtech,475000,65413,Petrol,Automatic,1st Owner,2013,1198 cc,5.0
154,154,Honda Jazz Mode,280000,45000,Petrol,Manual,2nd Owner,2009,1198 cc,5.0
155,155,Ford Figo 1.2P Trend MT,430000,44000,Petrol,Manual,1st Owner,2017,1196 cc,5.0
156,156,Hyundai Grand i10 1.2 Kappa Magna BSIV,490000,40000,Petrol,Manual,1st Owner,2017,1197 cc,5.0
157,157,Ford Ecosport 1.5 Petrol Titanium AT,651000,49000,Petrol,Automatic,1st Owner,2016,1496 cc,5.0
158,158,Mahindra Thar LX 4-Str Hard Top Diesel AT,1751000,19000,Diesel,Automatic,1st Owner,2022,2184 cc,4.0
159,159,Hyundai i20 Magna Optional 1.4 CRDi,391000,56000,Diesel,Manual,2nd Owner,2013,1396 cc,5.0
160,160,Honda City 1.5 V MT,375000,65000,Petrol,Manual,2nd Owner,2010,1497 cc,5.0
161,161,Toyota Etios G,490000,27680,Petrol,Manual,1st Owner,2013,1496 cc,5.0
162,162,Kia Seltos GTX Plus AT D,1825000,27305,Diesel,Automatic,1st Owner,2021,1493 cc,5.0
163,163,BMW 3 Series 320d,3300000,10793,Diesel,Automatic,1st Owner,2019,1995 cc,5.0
164,164,BMW X3 xDrive 20d Luxury Line,5600000,12000,Diesel,Automatic,1st Owner,2020,1995 cc,5.0
165,165,MG Hector Sharp DCT,1499000,44000,Petrol,Automatic,1st Owner,2019,1451 cc,5.0
166,166,Kia Seltos HTK G,1199000,63000,Petrol,Manual,1st Owner,2020,1497 cc,5.0
167,167,Hyundai i20 Sportz Plus Diesel,650000,87000,Diesel,Manual,1st Owner,2019,1396 cc,5.0
168,168,Maruti Alto LXi,190000,61000,Petrol,Manual,1st Owner,2010,796 cc,5.0
169,169,Hyundai i20 Sportz Option 1.4 CRDi,625000,72000,Diesel,Manual,1st Owner,2016,1396 cc,5.0
170,170,Audi A4 2.0 TDI Multitronic,1651000,70000,Diesel,Automatic,1st Owner,2015,1968 cc,5.0
171,171,Nissan Micra Diesel XV,225000,58000,Diesel,Manual,2nd Owner,2012,1461 cc,5.0
172,172,Honda Jazz Active,130000,90000,Petrol,Manual,3rd Owner,2009,1198 cc,5.0
173,173,Honda City VX MT,1250000,19000,Petrol,Manual,1st Owner,2022,1497 cc,5.0
174,174,Toyota Corolla Altis G AT,925000,72159,Petrol,Automatic,1st Owner,2014,1798 cc,5.0
175,175,Ford Ecosport 1.5 DV5 MT Titanium,590000,78000,Diesel,Manual,1st Owner,2015,1498 cc,5.0
176,176,Ford Ecosport 1.5 Diesel Titanium BSIV,690000,58000,Diesel,Manual,1st Owner,2018,1498 cc,5.0
177,177,Ford Ecosport 1.5 Diesel Titanium Plus BSIV,890000,72000,Diesel,Manual,1st Owner,2018,1498 cc,5.0
178,178,Land Rover Range Rover Evoque 2.0 TD4 SE,4250000,56000,Diesel,Automatic,1st Owner,2018,1999 cc,5.0
179,179,Nissan Micra Diesel XV,290000,73000,Diesel,Manual,1st Owner,2012,1461 cc,5.0
180,180,Hyundai Creta 1.6 VTVT S,890000,28840,Petrol,Manual,1st Owner,2016,1591 cc,5.0
181,181,Maruti Swift Dzire AMT ZXI,690000,51500,Petrol,Automatic,1st Owner,2019,1197 cc,5.0
182,182,Maruti S-Presso VXI Plus AT 2019-2022,480000,41370,Petrol,Automatic,1st Owner,2020,998 cc,5.0
183,183,Hyundai Creta 1.6 VTVT S,875000,41266,Petrol,Manual,1st Owner,2016,1591 cc,5.0
184,184,Hyundai Verna VTVT 1.6 AT SX Option,990000,31740,Petrol,Automatic,1st Owner,2018,1591 cc,5.0
185,185,Maruti Ciaz VXi Plus,615000,77876,Petrol,Manual,1st Owner,2015,1373 cc,5.0
186,186,Skoda Kushaq 1.5 TSI Style,2050000,9500,Petrol,Manual,1st Owner,2022,1498 cc,5.0
187,187,Hyundai Grand i10 1.2 Kappa Sportz Option AT,625000,28387,Petrol,Automatic,1st Owner,2019,1197 cc,5.0
188,188,Mercedes-Benz M-Class ML 350 CDI,2700000,120000,Diesel,Automatic,2nd Owner,2015,2987 cc,5.0
189,189,Hyundai Grand i10 Magna,450000,20000,Petrol,Manual,2nd Owner,2017,1197 cc,5.0
190,190,Mercedes-Benz C-Class Progressive C 220d,4250000,30686,Diesel,Automatic,1st Owner,2020,1950 cc,5.0
191,191,Tata Indica eV2 DL BSIII,100000,120000,Diesel,Manual,2nd Owner,2013,1396 cc,5.0
192,192,Mahindra Bolero Power Plus SLE,600000,184000,Diesel,Manual,2nd Owner,2018,1493 cc,7.0
193,193,Honda City 1.5 S AT,400000,40000,Petrol,Automatic,1st Owner,2009,1497 cc,5.0
194,194,Maruti Ciaz Delta Diesel,625000,55000,Diesel,Manual,1st Owner,2015,1248 cc,5.0
195,195,Hyundai Grand i10 1.2 Kappa Sportz Option,575000,38000,Petrol,Manual,1st Owner,2019,1197 cc,5.0
196,196,Audi Q3 30 TFSI Premium FWD,2350000,40000,Petrol,Automatic,1st Owner,2017,1395 cc,5.0
197,197,Hyundai Santro GS zipDrive - Euro II,135000,60000,Petrol,Manual,2nd Owner,2006,999 cc,5.0
198,198,Mahindra Bolero SLX,300000,110000,Diesel,Manual,3rd Owner,2009,2523 cc,7.0
199,199,Maruti Swift LDI,210000,143000,Diesel,Manual,2nd Owner,2011,1248 cc,5.0
200,200,Tata Indica Aqua 1.3 Quadrajet BSIV,125000,110000,Diesel,Manual,3rd Owner,2012,1248 cc,5.0
201,201,Mahindra KUV 100 mFALCON D75 K4 Plus,475000,58000,Diesel,Manual,1st Owner,2017,1198 cc,6.0
202,202,Honda City i VTEC SV,550000,65000,Petrol,Manual,2nd Owner,2014,1497 cc,5.0
203,203,Tata Harrier XZ Plus,1700000,50000,Diesel,Manual,1st Owner,2021,1956 cc,5.0
204,204,Tata Zest Revotron 1.2 XT,349000,55000,Petrol,Manual,1st Owner,2015,1193 cc,5.0
205,205,Land Rover Discovery Sport R-Dynamic SE Diesel,7000000,19500,Diesel,Automatic,1st Owner,2021,1999 cc,7.0
206,206,Mahindra XUV500 AT W10 FWD,925000,78000,Diesel,Automatic,2nd Owner,2016,2179 cc,7.0
207,207,Honda City V MT,390000,58000,Petrol,Manual,1st Owner,2010,1497 cc,5.0
208,208,Mahindra XUV500 W10 2WD,1025000,91000,Diesel,Manual,1st Owner,2017,2179 cc,7.0
209,209,Mahindra XUV500 AT W10 1.99 mHawk,1125000,30000,Diesel,Automatic,1st Owner,2016,1997 cc,7.0
210,210,Maruti Baleno 1.2 Zeta,725000,44153,Petrol,Manual,1st Owner,2018,1197 cc,5.0
211,211,Mercedes-Benz C-Class C 250d Avantgarde Edition C,3450000,21000,Diesel,Automatic,1st Owner,2018,2143 cc,5.0
212,212,Kia Seltos HTX G,1400000,19000,Petrol,Manual,1st Owner,2020,1497 cc,5.0
213,213,Hyundai Alcazar Signature Diesel AT,1950000,27300,Diesel,Automatic,1st Owner,2021,1493 cc,6.0
214,214,Skoda Superb Laurin & klement,3400000,31001,Petrol,Automatic,1st Owner,2021,1984 cc,5.0
215,215,Renault KWID 1.0 RXT,310000,50000,Petrol,Manual,1st Owner,2017,999 cc,5.0
216,216,Maruti Wagon R LXI BSII,130000,77000,Petrol,Manual,2nd Owner,2005,998 cc,5.0
217,217,Maruti Swift Dzire AMT VXI,650000,53000,Petrol,Automatic,1st Owner,2018,1197 cc,5.0
218,218,Datsun RediGO S,275000,20000,Petrol,Manual,1st Owner,2017,799 cc,5.0
219,219,Honda Brio S Option MT,350000,72000,Petrol,Manual,1st Owner,2013,1198 cc,5.0
220,220,Hyundai Creta 1.6 VTVT S,890000,26000,Petrol,Manual,1st Owner,2016,1591 cc,5.0
221,221,Honda Amaze S i-Dtech,425000,66000,Diesel,Manual,1st Owner,2015,1498 cc,5.0
222,222,Jaguar XF 2.2 Litre Luxury,2200000,69619,Diesel,Automatic,1st Owner,2014,2179 cc,5.0
223,223,Maruti Alto K10 VXI AMT,430000,30000,Petrol,Automatic,1st Owner,2018,998 cc,5.0
224,224,Maruti Wagon R LXI Minor,211000,61000,Petrol,Manual,1st Owner,2009,1061 cc,5.0
225,225,Renault Duster 110PS Diesel RxZ AMT,975000,31000,Diesel,Automatic,1st Owner,2018,1461 cc,5.0
226,226,Volkswagen Polo GT TSI,625000,66000,Petrol,Automatic,1st Owner,2015,1197 cc,5.0
227,227,Land Rover Discovery Sport R-Dynamic SE,7200000,7700,Petrol,Automatic,1st Owner,2021,1997 cc,7.0
228,228,Mahindra XUV700 AX3 AT,1750000,9000,Petrol,Automatic,1st Owner,2022,1999 cc,5.0
229,229,Tata Tigor 1.2 Revotron XT,340000,60000,Petrol,Manual,2nd Owner,2017,1199 cc,5.0
230,230,Skoda Fabia 1.2 MPI Active,110000,110000,Petrol,Manual,3rd Owner,2009,1198 cc,5.0
231,231,Kia Seltos HTX Plus AT D,1675000,51001,Diesel,Automatic,1st Owner,2020,1493 cc,5.0
232,232,Jeep Compass 2.0 Limited Plus AT,2100000,56207,Diesel,Automatic,1st Owner,2020,1956 cc,5.0
233,233,Mercedes-Benz GLA Class 200 d Sport,2690000,58000,Diesel,Automatic,1st Owner,2019,2143 cc,5.0
234,234,Hyundai i20 Diesel Sportz,650000,73290,Diesel,Manual,1st Owner,2018,1396 cc,5.0
235,235,Hyundai Verna 1.6 CRDi S,790000,44283,Diesel,Manual,1st Owner,2017,1582 cc,5.0
236,236,Maruti Celerio VXI AT,425000,48000,Petrol,Automatic,1st Owner,2016,998 cc,5.0
237,237,Honda City 1.5 S MT,340000,107500,Petrol,Manual,3rd Owner,2010,1497 cc,5.0
238,238,Maruti Swift 1.3 LXI,99999,80000,Petrol,Manual,3rd Owner,2007,1298 cc,5.0
239,239,Maruti SX4 Celebration Petrol,200000,90000,Petrol,Manual,2nd Owner,2009,1586 cc,5.0
240,240,Maruti Vitara Brezza LXI,775000,10000,Petrol,Manual,1st Owner,2021,1462 cc,5.0
241,241,Maruti Wagon R LXI BS IV,215000,120000,Petrol,Manual,1st Owner,2011,998 cc,5.0
242,242,Maruti Wagon R LXI BS IV,237000,120000,Petrol,Manual,1st Owner,2011,998 cc,5.0
243,243,Maruti Zen LX,55000,90000,Petrol,Manual,3rd Owner,2002,993 cc,5.0
244,244,Mahindra KUV 100 NXT G80 K2,425000,46000,Petrol,Manual,1st Owner,2018,1198 cc,6.0
